"","x"
"1",1
"2",2
"3",2
"4",3
"5",3
"6",2
"7",3
"8",3
"9",2
"10",2
"11",3
"12",3
"13",1
"14",1
"15",1
"16",1
"17",4
"18",4
"19",5
"20",5
"21",6
"22",1
"23",6
"24",6
"25",7
"26",6
"27",6
"28",8
"29",7
"30",6
"31",1
"32",9
"33",10
"34",8
"35",6
"36",11
"37",12
"38",13
"39",14
"40",6
"41",14
"42",1
"43",8
"44",14
"45",14
"46",8
"47",1
"48",12
"49",1
"50",12
"51",9
"52",15
"53",16
"54",17
"55",8
"56",18
"57",1
"58",1
"59",1
"60",8
"61",17
"62",1
"63",9
"64",9
"65",1
"66",19
"67",19
"68",1
"69",20
"70",1
"71",1
"72",9
