"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",3
"7",4
"8",5
"9",3
"10",2
"11",5
"12",5
"13",6
"14",7
"15",8
"16",9
"17",10
"18",10
"19",11
"20",11
"21",12
"22",13
"23",14
"24",15
"25",16
"26",17
"27",17
"28",18
"29",16
"30",14
"31",19
"32",20
"33",21
"34",22
"35",17
"36",23
"37",24
"38",25
"39",26
"40",14
"41",26
"42",7
"43",27
"44",26
"45",26
"46",22
"47",7
"48",24
"49",7
"50",28
"51",20
"52",29
"53",30
"54",31
"55",27
"56",32
"57",7
"58",19
"59",7
"60",33
"61",31
"62",7
"63",20
"64",34
"65",35
"66",36
"67",36
"68",37
"69",38
"70",39
"71",40
"72",34
