"","x"
"1","1"
"2","2"
"3","2"
"4","2"
"5","2"
"6","2"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","1"
"14","2"
"15","2"
"16","3"
"17","4"
"18","5"
"19","6"
"20","7"
"21","8"
"22","2"
"23","6"
"24","6"
"25","9"
"26","6"
"27","6"
"28","9"
"29","10"
"30","6"
"31","2"
"32","2"
"33","11"
"34","6"
"35","6"
"36","12"
"37","2"
"38","13"
"39","6"
"40","6"
"41","6"
"42","2"
"43","6"
"44","6"
"45","6"
"46","6"
"47","2"
"48","2"
"49","2"
"50","14"
"51","2"
"52","15"
"53","16"
"54","17"
"55","9"
"56","18"
"57","2"
"58","2"
"59","2"
"60","19"
"61","20"
"62","2"
"63","2"
"64","2"
"65","2"
"66","21"
"67","22"
"68","1"
"69","23"
"70","24"
"71","25"
"72","2"
