idunico,CARTR,BINOMIALR,MARSR,NNETR,SVMR,CARTC,NAIVEC,NNETC,SVMC,KNNC,Class
1,5,5,5,5,4,60,60,5,60,5,1
2,5,5,5,5,4,60,60,5,60,5,1
3,5,5,5,5,4,60,60,5,60,5,1
4,5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,5,4,60,60,5,60,5,1
6,5,5,5,5,4,60,60,5,60,5,1
7,5,5,5,5,4,60,60,5,60,5,1
8,5,5,5,5,4,60,60,5,60,5,1
9,5,5,5,5,4,60,60,5,60,5,1
10,5,5,5,5,4,60,60,5,60,5,1
11,5,5,5,5,4,60,60,5,60,5,1
12,5,5,5,5,4,60,60,5,60,5,1
13,5,5,5,5,4,60,60,5,60,5,1
14,5,5,5,5,4,60,60,5,60,5,1
15,5,5,5,5,4,60,60,5,60,5,1
16,5,5,5,5,4,60,60,5,60,5,1
17,5,5,5,5,4,60,60,5,60,5,1
18,5,5,5,5,4,60,60,5,60,5,1
19,5,5,5,5,4,60,60,5,60,5,1
20,5,5,5,5,4,60,60,5,60,5,1
21,5,5,5,5,4,60,60,5,60,5,1
22,5,5,5,5,4,60,60,5,60,5,1
23,5,5,5,5,4,60,60,5,60,5,1
24,5,5,5,5,4,60,60,5,60,5,1
25,5,5,5,5,4,60,60,5,60,5,1
26,5,5,5,5,4,60,60,5,60,5,1
27,5,5,5,5,4,60,60,5,60,5,1
28,5,5,5,5,4,60,60,5,60,5,1
29,5,5,5,5,4,60,60,5,60,5,1
30,5,5,5,5,4,60,60,5,60,5,1
31,5,5,5,5,4,60,60,5,60,5,1
32,5,5,5,5,4,60,60,5,60,5,1
33,5,5,5,5,4,60,60,5,60,5,1
34,5,5,5,5,4,60,60,5,60,5,1
35,5,5,5,5,4,60,60,5,60,5,1
36,5,5,5,5,4,60,60,5,60,5,1
37,5,5,5,5,4,60,60,5,60,5,1
38,5,5,5,5,4,60,60,5,60,5,1
39,5,5,5,5,4,60,60,5,60,5,1
40,5,5,5,5,4,60,60,5,60,5,1
41,5,5,5,5,4,60,60,5,60,5,1
42,5,5,5,5,4,60,60,5,60,5,1
43,5,5,5,5,4,60,60,5,60,5,1
44,5,5,5,5,4,60,60,5,60,5,1
45,5,5,5,5,4,60,60,5,60,5,1
46,5,5,5,5,4,60,60,5,60,5,1
47,5,5,5,5,4,60,60,5,60,5,1
48,5,5,5,5,4,60,60,5,60,5,1
49,5,5,5,5,4,60,60,5,60,5,1
50,5,5,5,5,4,60,60,5,60,5,1
51,5,5,5,5,4,60,60,5,60,5,1
52,5,5,5,5,4,60,60,5,60,5,1
53,5,5,5,5,4,60,60,5,60,5,1
54,5,5,5,5,4,60,60,5,60,5,1
55,5,5,5,5,4,60,60,5,60,5,1
56,5,5,5,5,4,60,60,5,60,5,1
57,5,5,5,5,4,60,60,5,60,5,1
58,5,5,5,5,4,60,60,5,60,5,1
59,5,5,5,5,4,60,60,5,60,5,1
60,66,194,16,195,186,104,224,95,75,77,0
61,90,148,249,75,224,279,178,166,119,91,0
62,161,216,28,256,65,7,49,152,126,95,0
63,248,230,41,244,275,144,104,136,14,259,0
64,63,67,226,237,199,185,158,189,17,221,0
65,132,86,80,219,45,35,232,138,242,5,0
66,110,136,248,64,6,40,191,76,251,223,0
67,271,78,23,157,96,190,31,30,172,156,0
68,41,72,163,100,165,279,107,8,69,99,0
69,218,157,19,3,98,61,101,195,47,131,0
70,183,1,256,118,86,78,7,204,28,7,0
