CARTR,BINOMIALR,MARSR,NNETR,SVMR,CARTC,NAIVEC,NNETC,SVMC,KNNC,Class
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
5,5,5,5,4,60,60,5,60,5,1
66,194,16,195,186,104,224,95,75,77,0
90,148,249,75,224,279,178,166,119,91,0
